Country,GlobalCompetitivenessIndex
Albania,3.537092165
Algeria,3.633009724
Argentina,3.193018279
Armenia,4.289407974
Australia,5.854435265
Austria,5.916511629
Azerbaijan,4.242790906
Bahrain,5.461427677
Bangladesh,3.840741682
Barbados,4.899098834
Belgium,5.731678885
Benin,3.843161035
Bhutan,4.738204447
Bolivia,3.04751101
Bosnia and Herzegovina,3.14125341
Botswana,5.027749655
Brazil,4.129532997
Brunei Darussalam,4.270270348
Bulgaria,3.685873564
Burundi,2.760554082
Cambodia,3.841104131
Cameroon,4.078805053
Canada,5.902739732
Cape Verde,4.250818062
Chad,3.006838469
Chile,5.274546437
China,4.521236588
Colombia,4.109623097
"Congo, Democratic Rep.",3.739130497
Costa Rica,4.605372737
C̫te d'Ivoire,4.241317008
Croatia,3.808702879
Cyprus,4.26630594
Czech Republic,4.513952594
Denmark,5.776318579
Dominican Republic,4.022728704
Ecuador,3.629410619
Egypt,3.941932576
El Salvador,3.808995887
Estonia,5.543254317
Ethiopia,4.027685949
Finland,6.470395245
France,5.449629593
Gabon,4.088533095
"Gambia, The",4.217895578
Georgia,4.774613338
Germany,5.812882763
Ghana,4.2671875
Greece,4.06027947
Guatemala,4.32568039
Honduras,3.956620292
Hong Kong SAR,6.205388017
Hungary,2.870385631
Iceland,5.829255728
India,3.941771803
Indonesia,4.355806294
"Iran, Islamic Rep.",3.85422483
Ireland,6.189788183
Israel,5.380036718
Italy,3.995209054
Jamaica,4.708334099
Japan,6.171490724
Jordan,4.999762868
Kazakhstan,4.365117508
Kenya,4.358881573
"Korea, Rep.",4.868227267
Kuwait,4.43547993
Kyrgyz Republic,3.532684922
Lao PDR,3.758672689
Latvia,4.413388981
Lebanon,4.291995275
Lesotho,4.217788369
Liberia,4.187382595
Lithuania,4.371800734
Luxembourg,6.323259344
"Macedonia, FYR",4.070101498
Madagascar,3.179661592
Malawi,3.994566081
Malaysia,5.291029835
Mali,3.74373965
Malta,5.01676321
Mauritania,2.745111005
Mauritius,4.956942326
Mexico,4.079904932
Moldova,3.139642521
Mongolia,3.78077313
Montenegro,3.888596196
Morocco,4.665134373
Mozambique,3.641312343
Namibia,5.239128915
Nepal,4.074575397
Netherlands,6.184644414
New Zealand,6.150980248
Nicaragua,3.246180566
Nigeria,3.994760308
Norway,6.173360242
Oman,5.448880406
Pakistan,3.484127852
Panama,4.910335259
Paraguay,3.767923791
Peru,4.005463775
Philippines,4.117489292
Poland,4.232650018
Portugal,4.488184418
Qatar,5.762937673
Romania,3.949592168
Russian Federation,3.482787672
Rwanda,5.705534061
Saudi Arabia,5.281933147
Senegal,4.175670801
Serbia,3.192929363
Sierra Leone,3.488484723
Singapore,6.310084384
Slovak Republic,4.173057046
Slovenia,4.352099595
South Africa,5.434465575
Spain,4.655237267
Sri Lanka,4.355548382
Sweden,6.323656145
Switzerland,6.491526937
"Taiwan, China",5.602117604
Tajikistan,4.454127283
Tanzania,3.938385744
Thailand,4.004868378
Trinidad and Tobago,4.073362202
Tunisia,4.521338462
Turkey,4.354489381
Uganda,4.236791469
Ukraine,3.025123055
United Arab Emirates,5.741295606
United Kingdom,6.280353083
United States,5.612638057
Uruguay,5.170565949
Venezuela,1.648196575
Vietnam,3.975555689
Yemen,3.01135813
Zambia,4.478947608
Zimbabwe,2.581999922
East Asia and Pacific,4.88703117
Middle East and North Africa,4.69538316
Latin America and the Caribbean,3.620484335
Europe and North America,4.898713781
Eurasia,3.922921686
Sub-Saharan Africa,4.059652601
South Asia,4.072494927
